,name,url,id,popularity,followers,genres
237,Zack Villere,https://open.spotify.com/artist/5jLbQGcvxehi2Z6qkUP9Rh,5jLbQGcvxehi2Z6qkUP9Rh,45,108260,['bedroom pop']
238,R.LUM.R,https://open.spotify.com/artist/7JBZN2pehWRUu3fX11lP2y,7JBZN2pehWRUu3fX11lP2y,43,110370,['alternative r&b']
239,Taylor Bennett,https://open.spotify.com/artist/6CqjoQyGZlnhnq5gAUz92c,6CqjoQyGZlnhnq5gAUz92c,51,112733,"['chicago rap', 'drill', 'lgbtq+ hip hop', 'pop rap']"
240,Harrison Storm,https://open.spotify.com/artist/5Ld19xtpAR80G2boTcHaVx,5Ld19xtpAR80G2boTcHaVx,59,113454,"['indie anthem-folk', 'indie folk']"
241,Joey Purp,https://open.spotify.com/artist/1ewyVtTZBqFYWIcepopRhp,1ewyVtTZBqFYWIcepopRhp,58,114320,"['chicago rap', 'indie hip hop', 'underground hip hop']"
242,Che Ecru,https://open.spotify.com/artist/45AMD9qU0ERQY5RvR7deHR,45AMD9qU0ERQY5RvR7deHR,54,115753,"['alternative r&b', 'canadian hip hop', 'chill r&b', 'indie r&b', 'pop r&b', 'r&b', 'trap soul']"
243,Col3trane,https://open.spotify.com/artist/4hTL3jOgvZwOqegEZTOrCc,4hTL3jOgvZwOqegEZTOrCc,59,116768,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'r&b', 'trap soul', 'uk contemporary r&b']"
244,Healy,https://open.spotify.com/artist/2Yhge9MsE7qKcV0eWsuuHM,2Yhge9MsE7qKcV0eWsuuHM,59,118528,"['alternative r&b', 'chill r&b', 'memphis hip hop']"
245,Sebastian Mikael,https://open.spotify.com/artist/4hknFHNFp3UMm2Rbc6Ansf,4hknFHNFp3UMm2Rbc6Ansf,45,118992,"['alternative r&b', 'indie r&b']"
246,anders,https://open.spotify.com/artist/6G1yTgvoYsuVb2Ja8cVVJ2,6G1yTgvoYsuVb2Ja8cVVJ2,57,119073,"['canadian contemporary r&b', 'canadian hip hop', 'pop r&b', 'r&b', 'toronto rap', 'trap soul']"
247,Jay Prince,https://open.spotify.com/artist/2TLYSzGyVYkxAgYSCqUnQj,2TLYSzGyVYkxAgYSCqUnQj,55,121686,"['alternative r&b', 'indie r&b', 'indie soul', 'uk alternative hip hop', 'underground hip hop']"
248,Kevin Garrett,https://open.spotify.com/artist/56tbeL5xhBPxby544GuK3E,56tbeL5xhBPxby544GuK3E,57,123952,"['alternative r&b', 'nyc pop', 'pittsburgh indie']"
249,VanJess,https://open.spotify.com/artist/0Ek89uaJyo6NfWK22awFvI,0Ek89uaJyo6NfWK22awFvI,61,127945,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'pop r&b', 'r&b']"
250,TYuS,https://open.spotify.com/artist/5J7URjIP8aFmeSn2QwF9Au,5J7URjIP8aFmeSn2QwF9Au,44,128135,"['alternative r&b', 'pop r&b', 'trap soul']"
251,Pip Millett,https://open.spotify.com/artist/1QfEfvB62EEl4upf2ANKkR,1QfEfvB62EEl4upf2ANKkR,59,128566,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']"
252,Travis Thompson,https://open.spotify.com/artist/6WZfEqqsYujHTUDuNd5Lbc,6WZfEqqsYujHTUDuNd5Lbc,55,129394,['seattle hip hop']
253,Jeremy Passion,https://open.spotify.com/artist/5Z8UTQtTYNu5o5FA66LFgv,5Z8UTQtTYNu5o5FA66LFgv,60,130767,"['chill r&b', 'pop', 'pop soul']"
254,Kirk Knight,https://open.spotify.com/artist/1nSpOxq3pcgomrfpXudQuq,1nSpOxq3pcgomrfpXudQuq,56,131533,['underground hip hop']
255,Felly,https://open.spotify.com/artist/2848adRcxvgWNRcz1g1tQD,2848adRcxvgWNRcz1g1tQD,62,131689,"['pop rap', 'underground hip hop']"
256,SAFE,https://open.spotify.com/artist/3bnpcWBcvlfq4hPFJjNPbz,3bnpcWBcvlfq4hPFJjNPbz,53,132983,"['canadian hip hop', 'trap soul']"
257,Ryan Trey,https://open.spotify.com/artist/5YHM0i7v5TqqibZhS0YiuX,5YHM0i7v5TqqibZhS0YiuX,59,133633,"['alternative r&b', 'chill r&b', 'r&b', 'trap soul']"
258,Lawrence,https://open.spotify.com/artist/5rwUYLyUq8gBsVaOUcUxpE,5rwUYLyUq8gBsVaOUcUxpE,60,134450,"['nyc pop', 'retro soul']"
259,Zak Abel,https://open.spotify.com/artist/6Gk5hoM7eW8NSCYhICMDHw,6Gk5hoM7eW8NSCYhICMDHw,67,135368,['uk contemporary r&b']
260,Lute,https://open.spotify.com/artist/75WcpJKWXBV3o3cfluWapK,75WcpJKWXBV3o3cfluWapK,64,136812,"['hip hop', 'indie hip hop', 'north carolina hip hop', 'underground hip hop']"
261,Luke James,https://open.spotify.com/artist/4E7AV8mtElSjHZP3xA9kyU,4E7AV8mtElSjHZP3xA9kyU,48,137287,"['alternative r&b', 'pop r&b', 'r&b']"
262,Leven Kali,https://open.spotify.com/artist/5YZ5AExR68U3ZblH6HcO6B,5YZ5AExR68U3ZblH6HcO6B,60,137823,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'r&b']"
263,RAY BLK,https://open.spotify.com/artist/0CkbPVBpOwwz9NPPglFKyq,0CkbPVBpOwwz9NPPglFKyq,56,137876,"['alternative r&b', 'electra', 'uk contemporary r&b']"
264,REASON,https://open.spotify.com/artist/6XpXnnKHIhCOUbOLOJGe6o,6XpXnnKHIhCOUbOLOJGe6o,60,138938,"['hip hop', 'indie hip hop', 'rap', 'underground hip hop']"
265,92914,https://open.spotify.com/artist/0Zoe6ljAJo85rggnN6OaOF,0Zoe6ljAJo85rggnN6OaOF,54,139547,"['chill pop', 'chill r&b', 'korean indie folk']"
266,Kandi,https://open.spotify.com/artist/0ThrQemMA2B8xxusTUl8IM,0ThrQemMA2B8xxusTUl8IM,44,141583,"['hip pop', 'r&b', 'urban contemporary']"
267,Devvon Terrell,https://open.spotify.com/artist/4WcJL1x8azi1Qkv4jc6fhH,4WcJL1x8azi1Qkv4jc6fhH,52,141760,['pop r&b']
268,Junglepussy,https://open.spotify.com/artist/6atGQM99IrRfUefJFore1B,6atGQM99IrRfUefJFore1B,49,144573,"['alternative r&b', 'escape room', 'trap queen']"
269,Puma Blue,https://open.spotify.com/artist/6lHO1eGthNnos9KP2BH0cG,6lHO1eGthNnos9KP2BH0cG,56,145918,"['bedroom pop', 'indie garage rock', 'uk contemporary r&b']"
270,Grace Carter,https://open.spotify.com/artist/2LuHL7im4aCEmfOlD4rxBC,2LuHL7im4aCEmfOlD4rxBC,60,147311,"['pop', 'uk contemporary r&b', 'uk pop']"
271,Kyle Dion,https://open.spotify.com/artist/5qfkUSH3ip5dD2eEPhjkT3,5qfkUSH3ip5dD2eEPhjkT3,54,150654,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'pop', 'r&b', 'trap soul']"
272,Cozz,https://open.spotify.com/artist/5oFkj1qSlyBUmV5d6Edgtq,5oFkj1qSlyBUmV5d6Edgtq,58,151671,['underground hip hop']
273,Asiahn,https://open.spotify.com/artist/1mKtlPrXjWK6oIdk9cSOjs,1mKtlPrXjWK6oIdk9cSOjs,51,151716,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop r&b', 'r&b']"
274,bLAck pARty,https://open.spotify.com/artist/4C9Tvlt8v7d8R6h98FgdUy,4C9Tvlt8v7d8R6h98FgdUy,54,152822,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul']"
275,Black Thought,https://open.spotify.com/artist/6DJEUXZm0e2rAohdoZ5Voo,6DJEUXZm0e2rAohdoZ5Voo,58,155801,"['alternative hip hop', 'boom bap', 'east coast hip hop', 'hip hop', 'southern hip hop']"
276,Stalley,https://open.spotify.com/artist/1wUmdemiR9Dxw8A2el365A,1wUmdemiR9Dxw8A2el365A,47,157004,"['alternative hip hop', 'ohio hip hop', 'soul flow', 'southern hip hop', 'underground hip hop']"
277,Jacob Latimore,https://open.spotify.com/artist/7t7KCNFOwuMChaQg6L8I69,7t7KCNFOwuMChaQg6L8I69,47,158109,"['chill r&b', 'pop r&b', 'r&b', 'trap soul']"
278,Knxwledge,https://open.spotify.com/artist/17Zu03OgBVxgLxWmRUyNOJ,17Zu03OgBVxgLxWmRUyNOJ,63,159495,"['abstract beats', 'alternative hip hop', 'alternative r&b', 'hip hop', 'indie soul', 'wonky']"
279,Choker,https://open.spotify.com/artist/5XQRfs0gXs30aWUn1Umves,5XQRfs0gXs30aWUn1Umves,54,162128,"['alternative r&b', 'indie r&b', 'indie soul']"
280,Adrian Marcel,https://open.spotify.com/artist/0tqGegfp4LA38TZ807OdzM,0tqGegfp4LA38TZ807OdzM,48,163683,['pop r&b']
281,Yo Trane,https://open.spotify.com/artist/4W49e48G0gg1pucAN6JiGH,4W49e48G0gg1pucAN6JiGH,53,164812,"['alternative r&b', 'chill r&b', 'pop r&b', 'r&b', 'trap soul']"
282,FRENSHIP,https://open.spotify.com/artist/7xEFii6utZmQ61kX59HmLH,7xEFii6utZmQ61kX59HmLH,59,164896,"['electropop', 'indie poptimism', 'la pop', 'pop edm', 'tropical house', 'vapor soul']"
283,Izzy Bizu,https://open.spotify.com/artist/6b5YOgXIliAozdo49vUCJQ,6b5YOgXIliAozdo49vUCJQ,57,165490,['british soul']
284,Sonta,https://open.spotify.com/artist/030FjQpP38xhjIPyWgjmiv,030FjQpP38xhjIPyWgjmiv,47,165798,['pop r&b']
285,PREP,https://open.spotify.com/artist/31SBgHxc8eqZUk9MdveH42,31SBgHxc8eqZUk9MdveH42,55,166998,"['alternative r&b', 'chill r&b']"
286,Spillage Village,https://open.spotify.com/artist/7izarc0fRIPbdZ8cVyChRf,7izarc0fRIPbdZ8cVyChRf,57,167581,"['hip hop', 'rap', 'underground hip hop']"
